article_ID,publisher_ID,year
1,198,2020
2,389,2020
3,216,2020
4,21,2018
5,133,2018
6,262,2018
7,249,2018
8,208,2020
9,402,2018
10,156,2020
11,245,2018
12,184,2018
13,299,2019
14,112,2020
15,259,2018
16,72,2019
17,145,2018
18,72,2019
19,387,2019
20,49,2019
21,317,2019
22,129,2019
23,273,2018
24,362,2019
25,309,2018
26,76,2020
27,159,2019
28,51,2018
29,374,2020
30,38,2020
31,351,2019
32,170,2020
33,242,2019
34,287,2019
35,52,2019
36,182,2019
37,223,2018
38,162,2018
39,313,2020
40,328,2018
41,105,2019
42,283,2018
43,245,2018
44,227,2020
45,267,2019
46,134,2019
47,32,2020
48,281,2019
49,8,2020
50,48,2019
51,369,2018
52,205,2019
53,364,2018
54,402,2020
55,343,2019
56,321,2018
57,1,2019
58,314,2020
59,253,2020
60,171,2019
61,125,2020
62,374,2019
63,167,2019
64,361,2019
65,33,2020
66,98,2018
67,291,2019
68,114,2020
69,123,2019
70,73,2020
71,279,2019
72,230,2020
73,47,2018
74,42,2019
75,164,2018
76,261,2019
77,251,2019
78,56,2018
79,155,2019
80,283,2019
81,150,2020
82,362,2018
83,64,2020
84,281,2018
85,171,2018
86,277,2020
87,105,2018
88,309,2020
89,281,2020
90,301,2019
91,148,2019
92,228,2018
93,47,2018
94,306,2019
95,198,2018
96,163,2019
97,295,2020
98,124,2018
99,149,2020
100,95,2018
101,97,2019
102,96,2018
103,17,2018
104,314,2019
105,337,2018
106,134,2018
107,244,2018
108,36,2019
109,46,2020
110,348,2020
111,388,2018
112,67,2019
113,77,2018
114,20,2020
115,42,2019
116,359,2019
117,277,2018
118,350,2020
119,201,2020
120,362,2020
121,269,2020
122,142,2020
123,268,2019
124,121,2020
125,111,2019
126,348,2019
127,302,2020
128,215,2020
129,297,2020
130,141,2019
131,231,2019
132,253,2018
133,339,2020
134,329,2019
135,359,2018
136,183,2018
137,43,2019
138,167,2018
139,314,2018
140,60,2017
141,250,2017
142,301,2019
143,323,2018
144,172,2017
145,98,2018
146,125,2019
147,9,2017
148,375,2017
149,139,2019
150,60,2018
151,362,2017
152,113,2017
153,191,2018
154,88,2017
155,171,2018
156,219,2017
157,32,2018
158,52,2019
159,401,2019
160,75,2019
161,358,2017
162,113,2017
163,24,2018
164,294,2017
165,325,2018
166,274,2019
167,309,2017
168,349,2018
169,38,2019
170,14,2017
171,64,2018
172,326,2019
173,97,2017
174,311,2018
175,295,2017
176,62,2019
177,201,2018
178,47,2017
179,190,2018
180,60,2017
181,19,2018
182,311,2018
183,12,2017
184,100,2019
185,95,2019
186,368,2019
187,64,2018
188,246,2017
189,108,2018
190,373,2018
191,32,2018
192,348,2019
193,12,2019
194,279,2018
195,218,2018
196,318,2018
197,52,2018
198,134,2019
199,36,2017
200,114,2019
201,37,2017
202,332,2019
203,155,2018
204,180,2018
205,224,2017
206,93,2018
207,32,2018
208,258,2017
209,240,2019
210,21,2018
211,306,2017
212,52,2019
213,359,2018
214,201,2018
215,103,2017
216,134,2019
217,184,2017
218,375,2017
219,241,2019
220,292,2017
221,87,2018
222,358,2018
223,345,2018
224,105,2017
225,393,2018
226,30,2018
227,404,2018
228,347,2019
229,82,2019
230,83,2017
231,176,2017
232,272,2017
233,129,2019
234,61,2018
235,306,2017
236,227,2019
237,341,2018
238,90,2018
239,7,2018
240,242,2017
241,349,2019
242,210,2017
243,292,2018
244,261,2018
245,160,2018
246,333,2017
247,183,2017
248,199,2018
249,337,2019
250,129,2018
251,79,2017
252,288,2017
253,354,2019
254,7,2017
255,235,2017
256,380,2018
257,41,2019
258,172,2017
259,379,2018
260,24,2018
261,279,2017
262,144,2017
263,70,2017
264,123,2019
265,391,2017
266,247,2019
267,181,2019
268,313,2019
269,148,2018
270,345,2017
271,184,2017
272,303,2017
273,325,2017
274,318,2019
275,68,2019
276,367,2017
277,159,2017
278,199,2017
279,384,2018
280,213,2019
281,334,2019
282,42,2018
283,1,2018
284,305,2018
285,99,2017
286,358,2018
287,172,2018
288,82,2019
289,123,2018
290,115,2018
291,327,2019
292,230,2018
293,194,2017
294,364,2018
295,345,2017
296,291,2018
297,213,2018
298,17,2017
299,206,2017
300,360,2019
301,291,2018
302,215,2018
303,396,2019
304,340,2018
305,364,2018
306,24,2019
307,85,2018
308,229,2018
309,33,2018
310,133,2017
311,360,2019
312,81,2019
313,229,2017
314,271,2019
315,250,2019
316,288,2019
317,310,2017
318,387,2019
319,1,2017
320,20,2017
321,254,2018
322,167,2017
323,160,2017
324,240,2017
325,26,2017
326,213,2017
327,97,2018
328,281,2018
329,325,2019
330,43,2018
331,372,2018
332,67,2017
333,8,2018
334,206,2018
335,348,2017
336,214,2019
337,162,2018
338,2,2018
339,110,2017
340,8,2018
341,368,2019
342,387,2017
343,2,2019
344,346,2017
345,271,2018
346,314,2019
347,51,2017
348,98,2019
349,61,2017
350,312,2017
351,333,2017
352,102,2018
353,155,2017
354,144,2017
355,353,2018
356,94,2018
357,52,2018
358,244,2018
359,204,2018
360,322,2018
361,42,2019
362,12,2019
363,141,2017
364,232,2018
365,60,2017
366,132,2017
367,69,2019
368,335,2017
369,267,2019
370,334,2019
371,331,2018
372,178,2017
373,59,2017
374,80,2017
375,143,2018
376,10,2019
377,22,2018
378,21,2017
379,106,2018
380,349,2017
381,133,2019
382,286,2017
383,162,2019
384,188,2018
385,291,2018
386,22,2017
387,384,2017
388,360,2018
389,312,2017
390,336,2018
391,254,2018
392,365,2019
393,330,2017
394,235,2018
395,328,2019
396,223,2018
397,191,2019
398,276,2019
399,92,2018
400,107,2018
401,193,2019
402,301,2017
403,150,2018
404,5,2018
405,71,2018
406,78,2017
407,139,2018
408,171,2016
409,173,2017
410,189,2016
411,368,2018
412,48,2016
413,174,2017
414,400,2018
415,318,2018
416,19,2016
417,22,2018
418,139,2018
419,84,2017
420,77,2016
421,299,2017
422,149,2017
423,185,2017
424,203,2017
425,281,2017
426,67,2016
427,151,2016
428,59,2018
429,245,2017
430,375,2016
431,123,2016
432,25,2018
433,158,2017
434,92,2017
435,268,2018
436,374,2017
437,37,2018
438,155,2017
439,207,2016
440,169,2016
441,154,2017
442,213,2017
443,56,2016
444,51,2018
445,288,2017
446,247,2018
447,243,2016
448,173,2018
449,176,2016
450,64,2016
451,246,2017
452,60,2017
453,359,2017
454,255,2016
455,219,2017
456,20,2016
457,155,2017
458,172,2016
459,377,2018
460,352,2018
461,80,2018
462,86,2016
463,321,2018
464,290,2016
465,193,2016
466,328,2018
467,45,2018
468,34,2018
469,44,2016
470,102,2016
471,384,2018
472,114,2017
473,32,2018
474,198,2017
475,5,2018
476,51,2018
477,202,2016
478,285,2018
479,266,2017
480,149,2016
481,230,2017
482,251,2016
483,404,2017
484,300,2017
485,366,2016
486,348,2018
487,112,2016
488,217,2018
489,43,2016
490,189,2017
491,113,2017
492,134,2017
493,300,2018
494,398,2017
495,86,2018
496,221,2016
497,99,2017
498,184,2017
499,59,2018
500,33,2018
501,360,2016
502,15,2017
503,270,2018
504,232,2018
505,386,2018
506,347,2017
507,104,2016
508,61,2017
509,255,2017
510,204,2018
511,132,2017
512,107,2016
513,329,2018
514,22,2017
515,111,2018
516,320,2017
517,75,2016
518,54,2017
519,102,2016
520,235,2018
521,194,2017
522,186,2018
523,280,2018
524,78,2017
525,54,2017
526,306,2017
527,250,2016
528,76,2018
529,289,2017
530,208,2018
531,327,2016
532,349,2018
533,217,2016
534,267,2017
535,254,2018
536,348,2018
537,166,2018
538,256,2018
539,256,2017
540,326,2017
541,344,2017
542,104,2016
543,278,2016
544,313,2017
545,113,2016
546,5,2017
547,175,2016
548,362,2018
549,383,2018
550,163,2018
551,165,2017
552,19,2018
553,269,2017
554,76,2018
555,132,2016
556,309,2017
557,402,2016
558,80,2017
559,195,2018
560,299,2018
561,151,2017
562,368,2016
563,362,2017
564,241,2018
565,34,2017
566,44,2017
567,265,2017
568,21,2018
569,34,2017
570,116,2017
571,67,2017
572,21,2017
573,154,2018
574,8,2016
575,389,2017
576,230,2017
577,170,2016
578,83,2017
579,77,2018
580,336,2017
581,236,2018
582,191,2018
583,259,2017
584,196,2017
585,272,2018
586,258,2018
587,18,2017
588,294,2016
589,47,2016
590,348,2017
591,266,2018
592,389,2018
593,308,2016
594,40,2017
595,383,2016
596,219,2016
597,387,2016
598,106,2017
599,149,2018
600,275,2017
601,307,2018
602,214,2018
603,247,2016
604,199,2017
605,312,2018
606,301,2017
607,120,2018
608,11,2016
609,337,2017
610,1,2018
611,380,2017
612,94,2016
613,155,2017
614,260,2017
615,292,2017
616,131,2016
617,171,2017
618,34,2018
619,253,2016
620,135,2017
621,156,2017
622,396,2017
