ID,title,volume,DOI
1,Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,1210 AISC,10.1007/978-3-030-51758-8_15
2,Bridging theory to practice: Feedforward and cascade control with tclab arduino kit,695 LNEE,10.1007/978-3-030-58653-9_3
3,Development of sediment management guidelines for small to medium reservoirs,146,10.1061/(ASCE)HY.1943-7900.0001822
4,Structural design space exploration using principal component analysis,20,10.1115/1.4047428
5,Religion-focused dating apps: A Q methodology study on the uses of mutual,55,10.1016/j.tele.2020.101448
6,Interleaving physics- and data-driven models for power system transient dynamics,189,10.1016/j.epsr.2020.106824
7,Survivability of integrated fiber Bragg grating sensors in ballistic protection fabrics for high velocity impact testing,60,10.1016/j.yofte.2020.102356
8,The effects of transition style for collaborative view sharing in immersive Virtual Reality,92,10.1016/j.cag.2020.08.003
9,Probabilistic extension of flexible hybrid state estimation for cyber-physical systems,122,10.1016/j.ijepes.2020.106179
10,Solid-state membranes formed on natural menisci,31,10.1088/1361-6528/aba711
11,Assessing the environmental impact and payback of carbon nanotube supported CO2 capture technologies using LCA methodology,270,10.1016/j.jclepro.2020.122465
12,Investigating steel tool life in the RFSSW process,58,10.1016/j.jmapro.2020.07.034
13,"Persistent intelligence, surveillance, and reconnaissance using multiple autonomous vehicles with asynchronous route updates",5,10.1109/LRA.2020.3008140
14,In-situ strain measurement of ballistic fabrics during impact using fiber Bragg gratings,59,10.1016/j.yofte.2020.102334
15,An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy,370,10.1016/j.cma.2020.113283
16,Physical-Layer Security for Vehicle-to-Everything Networks: Increasing Security while Maintaining Reliable Communications,15,10.1109/MVT.2020.3002494
17,High-Speed Acoustic Impact-Echo Sounding of Concrete Bridge Decks,39,10.1007/s10921-020-00695-0
18,"Managing Production Yields and Rework through Feedback on Speed, Quality, and Quantity",29,10.1111/poms.13221
19,"Experimental demonstration of heat loss and turn-down ratio for a multi-panel, actively deployed radiator",178,10.1016/j.applthermaleng.2020.115658
20,Quantum Materials for Energy-Efficient Computing,72,10.1007/s11837-020-04293-3
21,A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal,265,10.1016/j.jclepro.2020.121786
22,"Low-Noise, Low-Power Pulse Shaper for Particle Detection (Invited Paper)",2020-August,10.1109/MWSCAS48704.2020.9184626
23,"Using a Deep Learning Model, Content Features, and Author Metadata to Recommend Research Papers",,10.1109/IRI49571.2020.00045
24,Insights into grain boundary energy structure-property relationships by examining computed [1 0 0] disorientation axis grain boundaries in Nickel,185,10.1016/j.scriptamat.2020.03.062
25,A Two-Step Multi-Stage Noise-Shaping Incremental Analog-to-Digital Converter (Invited Paper),2020-August,10.1109/MWSCAS48704.2020.9184542
26,Cooperative Relative UAV Attitude Estimation Using DoA and RF Polarization,56,10.1109/TAES.2019.2952701
27,Relative multiplicative extended Kalman filter for observable GPS-denied navigation,39,10.1177/0278364920903094
28,Municipal wastewater treatment by semi-continuous and membrane algal-bacterial photo-bioreactors,36,10.1016/j.jwpe.2020.101274
29,Estimating correlations with censored data,32,10.1080/08982112.2019.1698744
30,"Social impact in product design, an exploration of current industry practices",142,10.1115/1.4045448
31,An iterative pose estimation algorithm based on epipolar geometry with application to multi-target tracking,7,10.1109/JAS.2020.1003222
32,Tracking joint angles during whole-arm movements using electromagnetic sensors,142,10.1115/1.4045814
33,Case study: Noise reduction of a vacuum-assisted toilet,68,10.3397/1/376825
34,Developable mechanisms on right conical surfaces,149,10.1016/j.mechmachtheory.2020.103813
35,State-Dependent LQR Control for a Tilt-Rotor UAV,2020-July,10.23919/ACC45564.2020.9147931
36,"Understanding the Impact of Quantization, Accuracy, and Radiation on the Reliability of Convolutional Neural Networks on FPGAs",67,10.1109/TNS.2020.2983662
37,Flexible hybrid state estimation for power systems with communication irregularities,14,10.1049/iet-gtd.2019.1148
38,Comparison of conditional main effects analysis to the analysis of follow-up experiments for separating confounded two-factor interaction effects in 2 IVk−p fractional factorial experiments,36,10.1002/qre.2638
39,On the effects of channel sparsity on joint estimators in aeronautical telemetry,56,10.1109/TAES.2020.2972245
40,Relative navigation of fixed-wing aircraft in GPS-denied environments,67,10.1002/navi.364
41,Increasing Student Use of a Learner Dashboard,29,10.1007/s10956-020-09824-w
42,Interplay of dislocation substructure and elastic strain evolution in additively manufactured Inconel 625,785,10.1016/j.msea.2020.139380
43,Improving running economy through altered shoe bending stiffness across speeds,12,10.1080/19424280.2020.1734870
44,Self-Sustaining 3D Thin Liquid Films in Ambient Environments,7,10.1002/admi.201901887
