s,name
http://kg_sdm.org/Person/Abaimov_S_,Abaimov S.
http://kg_sdm.org/Person/Abliz_D_,Abliz D.
http://kg_sdm.org/Person/Ackerman_W_,Ackerman W.
http://kg_sdm.org/Person/Adams_B_R_,Adams B.R.
http://kg_sdm.org/Person/Adams_D_W_,Adams D.W.
http://kg_sdm.org/Person/Adams_J_A_,Adams J.A.
http://kg_sdm.org/Person/Adams_M_R_,Adams M.R.
http://kg_sdm.org/Person/Adamson_M_,Adamson M.
http://kg_sdm.org/Person/Adidharma_H_,Adidharma H.
http://kg_sdm.org/Person/Advani_S_G_,Advani S.G.
http://kg_sdm.org/Person/Afran_M_S_,Afran M.S.
http://kg_sdm.org/Person/Aghito_M_,Aghito M.
http://kg_sdm.org/Person/Ahrens_J_,Ahrens J.
http://kg_sdm.org/Person/Akagi_J_,Akagi J.
http://kg_sdm.org/Person/Akhatov_I_,Akhatov I.
http://kg_sdm.org/Person/Aktas_A_,Aktas A.
http://kg_sdm.org/Person/Alder_C_K_,Alder C.K.
http://kg_sdm.org/Person/Aldous_P_,Aldous P.
http://kg_sdm.org/Person/Alejandro_A_,Alejandro A.
http://kg_sdm.org/Person/Ali_M_A_,Ali M.A.
http://kg_sdm.org/Person/Allen_B_C_,Allen B.C.
http://kg_sdm.org/Person/Allen_D_,Allen D.
http://kg_sdm.org/Person/Allen_G_N_,Allen G.N.
http://kg_sdm.org/Person/Allen_J_D_,Allen J.D.
http://kg_sdm.org/Person/Allen_J_T_,Allen J.T.
http://kg_sdm.org/Person/Allen_M_,Allen M.
http://kg_sdm.org/Person/Allen_Q_S_,Allen Q.S.
http://kg_sdm.org/Person/Allen_T_D_,Allen T.D.
http://kg_sdm.org/Person/Allred_D_D_,Allred D.D.
http://kg_sdm.org/Person/Alvarez_E_J_,Alvarez E.J.
http://kg_sdm.org/Person/Ames_D_C_,Ames D.C.
http://kg_sdm.org/Person/Amin_M_N_,Amin M.N.
http://kg_sdm.org/Person/Amini_E_,Amini E.
http://kg_sdm.org/Person/Anagnostou_E_,Anagnostou E.
http://kg_sdm.org/Person/Andersen_J_,Andersen J.
http://kg_sdm.org/Person/Anderson_B_E_,Anderson B.E.
http://kg_sdm.org/Person/Anderson_C_R_,Anderson C.R.
http://kg_sdm.org/Person/Anderson_J_,Anderson J.
http://kg_sdm.org/Person/Anderson_R_,Anderson R.
http://kg_sdm.org/Person/Andersson_K_,Andersson K.
http://kg_sdm.org/Person/Andrews_D_W_,Andrews D.W.
http://kg_sdm.org/Person/André_F_,André F.
http://kg_sdm.org/Person/Arabian_F_,Arabian F.
http://kg_sdm.org/Person/Arango_A_,Arango A.
http://kg_sdm.org/Person/Arce_S_,Arce S.
http://kg_sdm.org/Person/Argyle_M_,Argyle M.
http://kg_sdm.org/Person/Armknecht_J_,Armknecht J.
http://kg_sdm.org/Person/Armstrong_A_G_,Armstrong A.G.
http://kg_sdm.org/Person/Arnold_B_T_,Arnold B.T.
http://kg_sdm.org/Person/Arshad_S_,Arshad S.
http://kg_sdm.org/Person/Arya_M_,Arya M.
http://kg_sdm.org/Person/Aryal_B_R_,Aryal B.R.
http://kg_sdm.org/Person/Ashcraft_C_C_,Ashcraft C.C.
http://kg_sdm.org/Person/Asimaki_D_,Asimaki D.
http://kg_sdm.org/Person/Aslani_P_,Aslani P.
http://kg_sdm.org/Person/Atkinson_N_,Atkinson N.
http://kg_sdm.org/Person/Austin_D_E_,Austin D.E.
http://kg_sdm.org/Person/Averett_T_,Averett T.
http://kg_sdm.org/Person/Avila_A_,Avila A.
http://kg_sdm.org/Person/Avval_T_G_,Avval T.G.
http://kg_sdm.org/Person/Awerkamp_P_,Awerkamp P.
http://kg_sdm.org/Person/Babaei_A_,Babaei A.
http://kg_sdm.org/Person/Badger_J_C_,Badger J.C.
http://kg_sdm.org/Person/Badger_P_,Badger P.
http://kg_sdm.org/Person/Bahari_M_,Bahari M.
http://kg_sdm.org/Person/Bai_R_,Bai R.
http://kg_sdm.org/Person/Bair_J_,Bair J.
http://kg_sdm.org/Person/Baird_S_,Baird S.
http://kg_sdm.org/Person/Baker_M_J_,Baker M.J.
http://kg_sdm.org/Person/Baker_W_H_,Baker W.H.
http://kg_sdm.org/Person/Banesh_D_,Banesh D.
http://kg_sdm.org/Person/Baradoy_D_,Baradoy D.
http://kg_sdm.org/Person/Barber_J_L_,Barber J.L.
http://kg_sdm.org/Person/Barker_B_,Barker B.
http://kg_sdm.org/Person/Barrett_B_J_,Barrett B.J.
http://kg_sdm.org/Person/Barrett_L_K_,Barrett L.K.
http://kg_sdm.org/Person/Barter_M_,Barter M.
http://kg_sdm.org/Person/Barton_T_J_,Barton T.J.
http://kg_sdm.org/Person/Bartschi_J_M_,Bartschi J.M.
http://kg_sdm.org/Person/Baskaran_R_,Baskaran R.
http://kg_sdm.org/Person/Basko_R_,Basko R.
http://kg_sdm.org/Person/Bateman_T_C_,Bateman T.C.
http://kg_sdm.org/Person/Bates_C_O_,Bates C.O.
http://kg_sdm.org/Person/Bathe_M_,Bathe M.
http://kg_sdm.org/Person/Baumgarten_T_E_,Baumgarten T.E.
http://kg_sdm.org/Person/Baxter_J_S_,Baxter J.S.
http://kg_sdm.org/Person/Baxter_L_L_,Baxter L.L.
http://kg_sdm.org/Person/Beard_J_D_,Beard J.D.
http://kg_sdm.org/Person/Beard_R_W_,Beard R.W.
http://kg_sdm.org/Person/Beauchamp_M_J_,Beauchamp M.J.
http://kg_sdm.org/Person/Bekker_B_,Bekker B.
http://kg_sdm.org/Person/Belden_J_,Belden J.
http://kg_sdm.org/Person/Bencivenga_F_,Bencivenga F.
http://kg_sdm.org/Person/Benson_D_,Benson D.
http://kg_sdm.org/Person/Bentley_N_L_,Bentley N.L.
http://kg_sdm.org/Person/Berg_D_C_,Berg D.C.
http://kg_sdm.org/Person/Berselli_G_,Berselli G.
http://kg_sdm.org/Person/Best_C_M_,Best C.M.
http://kg_sdm.org/Person/Beutler_J_,Beutler J.
http://kg_sdm.org/Person/Beyerlein_I_J_,Beyerlein I.J.
http://kg_sdm.org/Person/Beyzaei_C_,Beyzaei C.
http://kg_sdm.org/Person/Bhat_S_K_,Bhat S.K.
http://kg_sdm.org/Person/Bickerton_S_,Bickerton S.
http://kg_sdm.org/Person/Bickham_B_P_,Bickham B.P.
http://kg_sdm.org/Person/Bidstrup_C_C_,Bidstrup C.C.
http://kg_sdm.org/Person/Bilancia_P_,Bilancia P.
http://kg_sdm.org/Person/Billings_W_M_,Billings W.M.
http://kg_sdm.org/Person/Bilodeau_R_A_,Bilodeau R.A.
http://kg_sdm.org/Person/Bingham_E_,Bingham E.
http://kg_sdm.org/Person/Bird_E_,Bird E.
http://kg_sdm.org/Person/Bischoff_M_,Bischoff M.
http://kg_sdm.org/Person/Biswas_A_,Biswas A.
http://kg_sdm.org/Person/Biwer_C_M_,Biwer C.M.
http://kg_sdm.org/Person/Bjørkevoll_K_,Bjørkevoll K.
http://kg_sdm.org/Person/Blackburn_L_,Blackburn L.
http://kg_sdm.org/Person/Blotter_J_D_,Blotter J.D.
http://kg_sdm.org/Person/Boardman_B_,Boardman B.
http://kg_sdm.org/Person/Boaventura_Cunha_J_,Boaventura-Cunha J.
http://kg_sdm.org/Person/Bodaghi_M_,Bodaghi M.
http://kg_sdm.org/Person/Bodily_D_M_,Bodily D.M.
http://kg_sdm.org/Person/Bodily_P_M_,Bodily P.M.
http://kg_sdm.org/Person/Bodily_R_,Bodily R.
http://kg_sdm.org/Person/Boekweg_E_,Boekweg E.
http://kg_sdm.org/Person/Bohman_M_,Bohman M.
http://kg_sdm.org/Person/Bohn_R_E_,Bohn R.E.
http://kg_sdm.org/Person/Bolme_C_,Bolme C.
http://kg_sdm.org/Person/Bong_H_J_,Bong H.J.
http://kg_sdm.org/Person/Bonner_N_,Bonner N.
http://kg_sdm.org/Person/Bopp_D_G_,Bopp D.G.
http://kg_sdm.org/Person/Borden_M_J_,Borden M.J.
http://kg_sdm.org/Person/Boster_K_,Boster K.
http://kg_sdm.org/Person/Bowden_A_E_,Bowden A.E.
http://kg_sdm.org/Person/Bowlan_P_,Bowlan P.
http://kg_sdm.org/Person/Bowman_K_E_,Bowman K.E.
