author,titles
http://kg_sdm.org/Person/Adams_B_R_,Impact of particle properties on radiative heat flux in an oxy-coal reactor
http://kg_sdm.org/Person/Adams_J_A_,Swarm Transparency
http://kg_sdm.org/Person/Goodrich_M_A_,"Swarm Transparency
_____
Moderating operator influence in human-swarm systems
_____
Design and Evaluation of Adverb Palette: A GUI for Selecting Tradeoffs in Multi-objective Optimization Problems
_____
GEESE: Grammatical evolution algorithm for evolution of swarm behaviors"
http://kg_sdm.org/Person/Adidharma_H_,A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal
http://kg_sdm.org/Person/Argyle_M_,A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal
http://kg_sdm.org/Person/Cao_Q_,A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal
http://kg_sdm.org/Person/Fan_M_,A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal
http://kg_sdm.org/Person/Gasem_K_,A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal
http://kg_sdm.org/Person/Lu_W_,A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal
http://kg_sdm.org/Person/Xu_B_,A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal
http://kg_sdm.org/Person/Zhang_F_,A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal
http://kg_sdm.org/Person/Zhang_Y_,A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal
http://kg_sdm.org/Person/Allen_D_,Don't Punish all of us: Measuring User Attitudes about Two-Factor Authentication
http://kg_sdm.org/Person/Dutson_J_,Don't Punish all of us: Measuring User Attitudes about Two-Factor Authentication
http://kg_sdm.org/Person/Eggett_D_,"Don't Punish all of us: Measuring User Attitudes about Two-Factor Authentication
_____
Use of Hi-resolution data for evaluating accuracy of traffic volume counts collected by microwave sensors"
http://kg_sdm.org/Person/Seamons_K_,"Don't Punish all of us: Measuring User Attitudes about Two-Factor Authentication
_____
Is that you, Alice? A usability study of the authentication ceremony of secure messaging applications
_____
Johnny's Journey Toward Usable Secure Email"
http://kg_sdm.org/Person/Allen_J_D_,"Over-Design Versus Redesign as a Response to Future Requirements
_____
Over-design versus redesign as a response to future requirements"
http://kg_sdm.org/Person/Hatch_N_W_,"Over-Design Versus Redesign as a Response to Future Requirements
_____
Over-design versus redesign as a response to future requirements"
http://kg_sdm.org/Person/Mattson_C_A_,"Over-Design Versus Redesign as a Response to Future Requirements
_____
Over-design versus redesign as a response to future requirements
_____
Toward a Universal Social Impact Metric for Engineered Products That Alleviate Poverty
_____
Village Drill: A Case Study in Engineering for Global Development with Five Years of Data Post Market-Introduction"
http://kg_sdm.org/Person/Stevenson_P_D_,"Over-Design Versus Redesign as a Response to Future Requirements
_____
Over-design versus redesign as a response to future requirements
_____
Toward a Universal Social Impact Metric for Engineered Products That Alleviate Poverty"
http://kg_sdm.org/Person/Allen_J_T_,Designing for power transfer across fold-lines in mechanisms with origami-like movement using surrogate folds
http://kg_sdm.org/Person/Defigueiredo_B_P_,Designing for power transfer across fold-lines in mechanisms with origami-like movement using surrogate folds
